               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12735,           0.0093589,            0.047074,            0.025628,             0.03125,            0.008422,           0.0017473,             0.13147,           0.0074131,            0.046862,             0.00015,             0.00015,             0.09865
                   1,             0.12455,           0.0092473,            0.044615,            0.012824,             0.03125,           0.0070987,           0.0010643,             0.13125,           0.0075059,            0.047052,           0.0001705,           0.0001705,            0.097071
